"x","y","fert1","fert2","fert3","fert4","ph1","ph2","ph3","tex1","tex2","tex3","tex4"
19.1166671752161,-31.3500007626925,0,0,0,1,0,1,0,0,1,0,0
19.1333338418856,-31.3500007626925,0,0,0,1,0,1,0,1,1,0,0
19.1500005085551,-31.3500007626925,0,0,0,1,0,1,0,1,1,0,0
19.1666671752246,-31.3500007626925,0,0,0,1,0,1,0,1,1,0,0
18.9833338418602,-31.3666674293606,0,0,1,0,0,1,1,0,1,0,1
19.0000005085297,-31.3666674293606,1,0,1,0,1,1,0,0,1,0,1
19.0166671751992,-31.3666674293606,1,0,1,0,1,1,0,0,1,0,1
19.0333338418686,-31.3666674293606,1,0,0,0,1,0,0,0,0,0,1
19.0500005085381,-31.3666674293606,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.3666674293606,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.3666674293606,1,0,0,1,1,1,0,0,1,0,1
19.1000005085466,-31.3666674293606,1,0,0,1,1,1,0,0,1,0,1
19.1166671752161,-31.3666674293606,0,0,0,1,0,1,0,0,1,0,0
19.1333338418856,-31.3666674293606,0,0,0,1,0,1,0,1,1,0,0
19.1500005085551,-31.3666674293606,0,0,0,1,0,1,0,1,1,0,0
19.1666671752246,-31.3666674293606,0,0,0,1,0,1,0,1,1,0,0
19.1833338418941,-31.3666674293606,0,0,0,1,0,1,0,1,1,0,0
19.0166671751992,-31.3833340960288,1,0,1,0,1,1,1,0,1,0,1
19.0333338418686,-31.3833340960288,1,0,1,0,1,1,0,0,1,0,1
19.0500005085381,-31.3833340960288,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.3833340960288,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.3833340960288,1,0,0,0,1,0,0,0,0,0,1
19.1000005085466,-31.3833340960288,1,0,0,0,1,0,0,0,0,0,1
19.1166671752161,-31.3833340960288,1,0,0,1,1,1,0,0,1,0,1
19.1333338418856,-31.3833340960288,0,0,0,1,0,1,0,0,1,0,0
19.1500005085551,-31.3833340960288,0,0,0,1,0,1,0,0,1,0,0
19.1666671752246,-31.3833340960288,0,0,0,1,0,1,0,1,1,0,0
19.1833338418941,-31.3833340960288,0,0,0,1,0,1,0,1,0,0,0
19.2000005085636,-31.3833340960288,0,0,0,1,0,1,0,1,1,0,0
19.0333338418686,-31.4000007626969,1,0,1,0,1,1,0,0,1,0,1
19.0500005085381,-31.4000007626969,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.4000007626969,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.4000007626969,1,0,0,0,1,0,0,0,0,0,1
19.1000005085466,-31.4000007626969,1,0,0,0,1,0,0,0,0,0,1
19.1166671752161,-31.4000007626969,1,0,0,1,1,1,0,0,1,0,1
19.1333338418856,-31.4000007626969,0,0,0,1,0,1,0,0,1,0,0
19.1500005085551,-31.4000007626969,0,0,0,1,0,1,0,1,1,0,0
19.1666671752246,-31.4000007626969,0,0,0,1,0,1,0,1,0,0,0
19.1833338418941,-31.4000007626969,0,0,0,1,0,1,0,1,0,0,0
19.0333338418686,-31.416667429365,1,0,1,0,1,1,0,0,1,0,1
19.0500005085381,-31.416667429365,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.416667429365,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.416667429365,1,0,0,0,1,0,0,0,0,0,1
19.1000005085466,-31.416667429365,1,0,0,0,1,0,0,0,0,1,1
19.1166671752161,-31.416667429365,1,0,0,1,1,1,0,0,1,1,1
19.1333338418856,-31.416667429365,0,0,0,1,0,1,0,0,1,0,0
19.1500005085551,-31.416667429365,0,0,0,1,0,1,0,1,1,0,0
19.1666671752246,-31.416667429365,0,0,0,1,0,1,0,1,1,0,0
19.1833338418941,-31.416667429365,0,0,0,1,0,1,0,1,0,0,0
19.2000005085636,-31.416667429365,0,0,0,1,0,1,0,1,0,0,0
19.0333338418686,-31.4333340960332,0,0,1,0,0,1,1,0,1,0,1
19.0500005085381,-31.4333340960332,1,0,1,0,1,1,0,0,1,0,1
19.0666671752076,-31.4333340960332,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.4333340960332,1,0,0,0,1,0,0,0,0,0,1
19.1000005085466,-31.4333340960332,1,0,0,0,1,0,0,0,0,1,1
19.1166671752161,-31.4333340960332,1,0,0,0,1,0,0,0,0,1,1
19.1333338418856,-31.4333340960332,1,0,0,1,1,1,0,0,1,0,1
19.1500005085551,-31.4333340960332,1,0,0,1,1,1,0,0,1,0,1
19.1666671752246,-31.4333340960332,0,0,0,1,0,1,0,1,1,0,0
19.1833338418941,-31.4333340960332,0,0,0,1,0,1,0,1,1,0,0
19.2000005085636,-31.4333340960332,0,0,0,1,0,1,0,1,1,0,0
19.2166671752331,-31.4333340960332,0,0,0,1,0,1,0,1,0,0,0
19.2333338419025,-31.4333340960332,0,0,0,1,0,1,0,1,1,0,0
19.0333338418686,-31.4500007627013,1,0,1,0,1,1,1,0,1,0,1
19.0500005085381,-31.4500007627013,1,0,1,0,1,1,0,0,1,0,1
19.0666671752076,-31.4500007627013,1,0,1,0,1,1,0,0,1,0,1
19.0833338418771,-31.4500007627013,1,0,1,0,1,1,0,0,1,0,1
19.1000005085466,-31.4500007627013,1,0,1,0,1,1,0,0,1,0,1
19.1166671752161,-31.4500007627013,1,0,0,0,1,0,0,0,0,1,1
19.1333338418856,-31.4500007627013,1,0,0,1,1,0,1,0,1,0,1
19.1500005085551,-31.4500007627013,1,0,0,1,1,1,1,0,1,0,1
19.1666671752246,-31.4500007627013,1,0,0,1,1,1,1,0,1,0,1
19.1833338418941,-31.4500007627013,0,0,0,1,0,1,1,0,1,0,0
19.2000005085636,-31.4500007627013,0,0,0,1,0,1,1,1,1,0,0
19.2166671752331,-31.4500007627013,0,0,0,1,0,1,1,1,1,0,0
19.2333338419025,-31.4500007627013,0,0,0,1,0,1,1,1,1,0,0
19.0333338418686,-31.4666674293695,1,0,1,0,1,1,0,0,1,0,1
19.0500005085381,-31.4666674293695,1,0,1,0,1,1,0,0,1,0,1
19.0666671752076,-31.4666674293695,1,0,1,0,1,1,0,0,1,0,1
19.0833338418771,-31.4666674293695,1,0,1,0,1,1,0,0,1,0,1
19.1000005085466,-31.4666674293695,1,0,0,0,1,0,0,0,0,1,1
19.1166671752161,-31.4666674293695,1,0,0,0,1,0,0,0,0,1,1
19.1333338418856,-31.4666674293695,1,0,0,0,1,0,0,0,0,1,1
19.1500005085551,-31.4666674293695,1,0,0,0,1,0,0,0,0,1,1
19.1666671752246,-31.4666674293695,1,0,0,1,1,1,1,0,1,0,1
19.1833338418941,-31.4666674293695,0,0,0,1,0,1,1,0,1,0,0
19.2000005085636,-31.4666674293695,0,0,0,1,0,1,0,0,1,0,0
19.2166671752331,-31.4666674293695,0,0,0,1,0,1,1,1,1,0,0
19.2333338419025,-31.4666674293695,0,0,0,1,0,1,0,1,0,0,0
19.0166671751992,-31.4833340960376,1,0,1,0,1,1,1,0,1,0,1
19.0333338418686,-31.4833340960376,1,0,1,0,1,1,0,0,1,0,1
19.0500005085381,-31.4833340960376,1,0,1,0,1,1,0,0,1,0,1
19.0666671752076,-31.4833340960376,1,0,1,0,1,1,0,0,1,0,1
19.0833338418771,-31.4833340960376,1,0,1,0,1,1,0,0,1,0,1
19.1000005085466,-31.4833340960376,1,0,1,0,1,1,0,0,1,0,1
19.1166671752161,-31.4833340960376,1,0,0,0,1,0,0,0,0,1,1
19.1333338418856,-31.4833340960376,1,0,0,0,1,0,0,0,0,1,0
19.1500005085551,-31.4833340960376,1,0,0,0,1,0,0,0,0,1,1
19.1666671752246,-31.4833340960376,1,0,0,1,1,1,0,0,1,1,1
19.1833338418941,-31.4833340960376,0,0,0,1,0,1,0,0,1,0,0
19.2000005085636,-31.4833340960376,0,0,0,1,0,1,0,0,1,0,0
19.2166671752331,-31.4833340960376,0,0,0,1,0,1,0,1,1,0,0
19.2333338419025,-31.4833340960376,0,0,0,1,0,1,0,1,0,0,0
18.9333338418517,-31.5000007627058,0,0,1,0,0,1,1,0,1,0,1
18.9500005085212,-31.5000007627058,1,0,1,0,1,1,0,0,1,1,0
19.0000005085297,-31.5000007627058,1,0,1,0,1,1,0,0,1,1,0
19.0166671751992,-31.5000007627058,1,0,1,0,1,1,0,0,1,0,1
19.0333338418686,-31.5000007627058,1,0,1,0,1,1,0,0,1,0,1
19.0500005085381,-31.5000007627058,1,0,1,0,1,1,0,0,1,0,1
19.0666671752076,-31.5000007627058,1,0,1,0,1,1,0,0,1,0,1
19.0833338418771,-31.5000007627058,1,0,1,0,1,1,0,0,1,0,1
19.1000005085466,-31.5000007627058,1,0,1,0,1,1,0,0,1,0,1
19.1166671752161,-31.5000007627058,1,0,1,0,1,1,0,0,1,1,1
19.1333338418856,-31.5000007627058,1,0,0,0,1,0,0,0,0,1,1
19.1500005085551,-31.5000007627058,1,0,0,0,1,0,0,0,0,1,1
19.1666671752246,-31.5000007627058,1,0,0,1,1,1,0,0,1,1,1
19.1833338418941,-31.5000007627058,0,0,0,1,0,1,0,0,1,0,0
19.2000005085636,-31.5000007627058,0,0,0,1,0,1,0,0,1,0,0
19.2166671752331,-31.5000007627058,0,0,0,1,0,1,0,1,1,0,0
18.9333338418517,-31.5166674293739,0,0,1,0,0,1,1,0,1,0,1
18.9500005085212,-31.5166674293739,0,0,1,0,0,1,0,0,1,0,0
18.9666671751907,-31.5166674293739,0,0,1,0,0,1,0,0,1,0,0
18.9833338418602,-31.5166674293739,0,0,1,0,0,1,0,0,1,0,0
19.0000005085297,-31.5166674293739,0,0,1,0,0,1,0,0,1,0,0
19.0166671751992,-31.5166674293739,1,0,1,0,1,1,0,0,1,1,1
19.0333338418686,-31.5166674293739,1,0,1,0,1,1,0,0,1,1,1
