Genus,species
Eragrostis,pilosa
Erigeron,hybrid
Eriobotrya,japonica
Eucalyptus,camaldulensis
Eucalyptus,cinerea
Eucalyptus,cladocalyx
Eucalyptus,cloeziana
Eucalyptus,conferruminata
Eucalyptus,diversicolor
Eucalyptus,exserta
Eucalyptus,fastigata
Eucalyptus,globulus
Eucalyptus,gomphocephala
Eucalyptus,grandis
Eucalyptus,leucoxylon
Eucalyptus,microcorys
Eucalyptus,microtheca
Eucalyptus,paniculata
Eucalyptus,regnans
Eucalyptus,robusta
Eucalyptus,sideroxylon
Eucalyptus,sp.
Eucalyptus,tereticornis
Eugenia,uniflora
Euphorbia,esula
Euphorbia,heterophylla
Euphorbia,leucocephala
Euphorbia,pulcherrima
Fallopia,sachalinensis
Ficus,carica
Ficus,elastica
Ficus,macrophylla
Ficus,pumila
Flaveria,bidentis
Foeniculum,vulgare
Fraxinus,americana
Fraxinus,angustifolia
Fraxinus,pennsylvanica/velutina
Fraxinus,sp.
Fuchsia,sp.
Fumaria,muralis
Genista,monspessulana
Glandularia,aristigera
Glebionis,coronaria
Gleditsia,triacanthos
Glyceria,maxima
Gomphrena,celosioides
Grevillea,banksii
Grevillea,robusta
Grevillea,rosmarinifolia
Grevillea,sericea
Guilleminea,densa
Gunnera,sp.
Hakea,drupacea
Hakea,gibbosa
Hakea,salicifolia
Hakea,sericea
Hakea,victoriae
Harrisia,martinii
Hedera,helix
Hedera,helix
Hedychium,coccineum
Hedychium,coronarium
Hedychium,flavescens
Hedychium,gardnerianum
Hedychium,sp.
Helianthus,annuus
Heliotropium,amplexicaule
Hibiscus,trionum
Homalanthus,populifolius
Hordeum,sp.
Hydrangea,sp.
Hydrilla,verticillata
Hylocereus,sp.
Hylocereus,undatus
Hypericum,patulum
Hypericum,perforatum
Hypochaeris,radicata
Hypoestes,phyllostachya
Impatiens,sodenii
Impatiens,sp.
Ipomoea,alba
Ipomoea,carnea
Ipomoea,indica
Ipomoea,indica/purpurea
Ipomoea,nil
Ipomoea,purpurea
Ipomoea,sp.
Iris,pseudacorus
Jacaranda,mimosifolia
Jasminum,humile
Jasminum,mesnyi
Jasminum,polyanthum
Jatropha,curcas
Jatropha,gossypiifolia
Jatropha,sp.
Juniperus,pinchotii
Juniperus,sp.
Juniperus,virginiana
Koelreuteria,paniculata
Lactuca,serriola
Lagerstroemia,indica
Lantana,camara
Lemna,gibba
Lemna,sp.
Lepidium,didymum
Lepidium,draba
Leptospermum,laevigatum
Leucaena,leucocephala
Ligustrum,japonicum
Ligustrum,lucidum
Ligustrum,ovalifolium
Ligustrum,sinense
Ligustrum,sp.
Ligustrum,vulgare
Lilium,formosanum
Limonium,sinuatum
Linaria,vulgaris
Liquidambar,styraciflua
Litsea,glutinosa
Lonicera,japonica
Lupinus,angustifolius
Lupinus,luteus
Lygodium,japonicum
Lythrum,salicaria
Macfadyena,unguis-cati
Maireana,brevifolia
Malus,pumila
Malva,dendromorpha
Malva,multiflora
Malva,parviflora
Malvastrum,coromandelianum
Mangifera,indica
Manihot,esculenta
Manihot,grahamii
Medicago,sativa
Melaleuca,hypericifolia
Melaleuca,wilsonii
Melia,azedarach
Melilotus,albus
