NAME,x,y
De Hoop Limestone Fynbos,20.18502815,-34.51047937
De Hoop Limestone Fynbos,20.48503415,-34.41047737
De Hoop Limestone Fynbos,20.21836215,-34.51047937
De Hoop Limestone Fynbos,20.46836715,-34.42714437
De Hoop Limestone Fynbos,20.25169615,-34.44381137
De Hoop Limestone Fynbos,20.28503015,-34.51047937
De Hoop Limestone Fynbos,20.30169715,-34.51047937
De Hoop Limestone Fynbos,20.38503215,-34.41047737
De Hoop Limestone Fynbos,20.11836015,-34.52714637
De Hoop Limestone Fynbos,20.13502715,-34.52714637
De Hoop Limestone Fynbos,20.21836215,-34.46047837
De Hoop Limestone Fynbos,20.16836115,-34.52714637
De Hoop Limestone Fynbos,20.18502815,-34.52714637
De Hoop Limestone Fynbos,20.20169515,-34.52714637
De Hoop Limestone Fynbos,20.23502915,-34.52714637
De Hoop Limestone Fynbos,20.28503015,-34.52714637
De Hoop Limestone Fynbos,20.23502915,-34.51047937
De Hoop Limestone Fynbos,20.31836415,-34.52714637
De Hoop Limestone Fynbos,20.26836315,-34.44381137
De Hoop Limestone Fynbos,20.08502615,-34.52714637
De Hoop Limestone Fynbos,20.10169315,-34.52714637
De Hoop Limestone Fynbos,20.28503015,-34.42714437
De Hoop Limestone Fynbos,20.30169715,-34.42714437
De Hoop Limestone Fynbos,20.38503215,-34.51047937
De Hoop Limestone Fynbos,20.30169715,-34.54381337
De Hoop Limestone Fynbos,20.31836415,-34.54381337
De Hoop Limestone Fynbos,20.35169815,-34.42714437
De Hoop Limestone Fynbos,20.38503215,-34.42714437
De Hoop Limestone Fynbos,20.40169915,-34.42714437
De Hoop Limestone Fynbos,20.30169715,-34.52714637
De Hoop Limestone Fynbos,20.43503315,-34.42714437
De Hoop Limestone Fynbos,20.45170015,-34.42714437
De Hoop Limestone Fynbos,20.21836215,-34.56048037
De Hoop Limestone Fynbos,20.28503015,-34.56048037
De Hoop Limestone Fynbos,20.31836415,-34.51047937
De Hoop Limestone Fynbos,20.33503115,-34.51047937
De Hoop Limestone Fynbos,20.31836415,-34.44381137
De Hoop Limestone Fynbos,20.33503115,-34.44381137
De Hoop Limestone Fynbos,20.28503015,-34.57714737
De Hoop Limestone Fynbos,20.30169715,-34.57714737
De Hoop Limestone Fynbos,20.46836715,-34.41047737
De Hoop Limestone Fynbos,20.31836415,-34.47714537
De Hoop Limestone Fynbos,20.41836615,-34.42714437
De Hoop Limestone Fynbos,20.23502915,-34.44381137
De Hoop Limestone Fynbos,20.41836615,-34.47714537
De Hoop Limestone Fynbos,20.43503315,-34.47714537
De Hoop Limestone Fynbos,20.33503115,-34.39381037
De Hoop Limestone Fynbos,20.28503015,-34.44381137
De Hoop Limestone Fynbos,20.30169715,-34.44381137
De Hoop Limestone Fynbos,20.18502815,-34.54381337
De Hoop Limestone Fynbos,20.26836315,-34.54381337
De Hoop Limestone Fynbos,20.20169515,-34.49381237
De Hoop Limestone Fynbos,20.21836215,-34.49381237
De Hoop Limestone Fynbos,20.23502915,-34.49381237
De Hoop Limestone Fynbos,20.25169615,-34.49381237
De Hoop Limestone Fynbos,20.43503315,-34.44381137
De Hoop Limestone Fynbos,20.45170015,-34.44381137
De Hoop Limestone Fynbos,20.46836715,-34.44381137
De Hoop Limestone Fynbos,20.48503415,-34.44381137
De Hoop Limestone Fynbos,20.50170115,-34.44381137
De Hoop Limestone Fynbos,20.25169615,-34.42714437
De Hoop Limestone Fynbos,20.26836315,-34.42714437
De Hoop Limestone Fynbos,20.58503615,-34.42714437
De Hoop Limestone Fynbos,20.60170315,-34.42714437
De Hoop Limestone Fynbos,20.18502815,-34.49381237
De Hoop Limestone Fynbos,20.30169715,-34.46047837
De Hoop Limestone Fynbos,20.25169615,-34.46047837
De Hoop Limestone Fynbos,20.26836315,-34.46047837
De Hoop Limestone Fynbos,20.28503015,-34.46047837
De Hoop Limestone Fynbos,20.40169915,-34.49381237
De Hoop Limestone Fynbos,20.31836415,-34.46047837
De Hoop Limestone Fynbos,20.41836615,-34.46047837
De Hoop Limestone Fynbos,20.43503315,-34.46047837
De Hoop Limestone Fynbos,20.30169715,-34.56048037
De Hoop Limestone Fynbos,20.16836115,-34.66048237
De Hoop Limestone Fynbos,20.18502815,-34.66048237
De Hoop Limestone Fynbos,20.33503115,-34.47714537
De Hoop Limestone Fynbos,20.35169815,-34.47714537
De Hoop Limestone Fynbos,20.30169715,-34.49381237
Kogelberg Sandstone Fynbos,19.03500515,-33.99380237
Kogelberg Sandstone Fynbos,19.00167115,-33.97713537
Kogelberg Sandstone Fynbos,18.95167015,-34.24380737
Kogelberg Sandstone Fynbos,18.96833715,-34.19380637
Kogelberg Sandstone Fynbos,19.00167115,-33.92713437
Kogelberg Sandstone Fynbos,18.98500415,-34.04380337
Kogelberg Sandstone Fynbos,18.96833715,-34.26047437
Kogelberg Sandstone Fynbos,18.98500415,-34.11047137
Kogelberg Sandstone Fynbos,19.03500515,-34.06047037
Kogelberg Sandstone Fynbos,18.95167015,-34.22714037
Kogelberg Sandstone Fynbos,19.13500715,-34.26047437
Kogelberg Sandstone Fynbos,19.16834115,-34.16047237
Kogelberg Sandstone Fynbos,19.08500615,-34.11047137
Kogelberg Sandstone Fynbos,19.00167115,-34.24380737
Kogelberg Sandstone Fynbos,19.13500715,-34.27714137
Kogelberg Sandstone Fynbos,19.03500515,-34.31047537
Kogelberg Sandstone Fynbos,18.91833615,-34.19380637
Kogelberg Sandstone Fynbos,19.01833815,-33.92713437
Kogelberg Sandstone Fynbos,18.98500415,-33.94380137
Kogelberg Sandstone Fynbos,18.98500415,-33.96046837
Kogelberg Sandstone Fynbos,18.98500415,-34.07713737
Kogelberg Sandstone Fynbos,19.03500515,-34.09380437
Kogelberg Sandstone Fynbos,19.00167115,-33.96046837
Kogelberg Sandstone Fynbos,18.93500315,-34.31047537
Kogelberg Sandstone Fynbos,19.03500515,-34.27714137
Kogelberg Sandstone Fynbos,19.08500615,-34.01046937
Kogelberg Sandstone Fynbos,19.00167115,-34.27714137
Kogelberg Sandstone Fynbos,18.93500315,-34.26047437
Kogelberg Sandstone Fynbos,18.95167015,-34.26047437
Kogelberg Sandstone Fynbos,19.00167115,-33.94380137
Kogelberg Sandstone Fynbos,18.93500315,-33.94380137
Kogelberg Sandstone Fynbos,18.96833715,-33.96046837
Kogelberg Sandstone Fynbos,19.00167115,-34.01046937
Kogelberg Sandstone Fynbos,18.88500215,-34.24380737
Kogelberg Sandstone Fynbos,19.01833815,-33.96046837
Kogelberg Sandstone Fynbos,18.88500215,-34.02713637
Kogelberg Sandstone Fynbos,19.01833815,-33.97713537
Kogelberg Sandstone Fynbos,19.13500715,-34.24380737
Kogelberg Sandstone Fynbos,18.96833715,-34.31047537
Kogelberg Sandstone Fynbos,19.06833915,-33.97713537
Kogelberg Sandstone Fynbos,19.15167415,-34.19380637
Kogelberg Sandstone Fynbos,19.00167115,-34.31047537
Kogelberg Sandstone Fynbos,19.00167115,-34.04380337
Kogelberg Sandstone Fynbos,18.93500315,-34.32714237
Kogelberg Sandstone Fynbos,19.20167515,-34.19380637
Kogelberg Sandstone Fynbos,18.91833615,-34.22714037
Kogelberg Sandstone Fynbos,18.95167015,-34.29380837
Kogelberg Sandstone Fynbos,18.96833715,-34.29380837
Kogelberg Sandstone Fynbos,18.98500415,-34.29380837
Kogelberg Sandstone Fynbos,19.03500515,-34.01046937
Kogelberg Sandstone Fynbos,19.01833815,-34.27714137
Kogelberg Sandstone Fynbos,19.05167215,-33.96046837
Kogelberg Sandstone Fynbos,19.13500715,-34.11047137
Kogelberg Sandstone Fynbos,19.15167415,-34.11047137
Kogelberg Sandstone Fynbos,19.18500815,-34.16047237
Kogelberg Sandstone Fynbos,18.98500415,-33.92713437
Kogelberg Sandstone Fynbos,19.08500615,-34.12713837
Kogelberg Sandstone Fynbos,18.88500215,-34.32714237
Kogelberg Sandstone Fynbos,18.91833615,-33.99380237
