fire_clip1,map_clip1,mmp01_clip1,pptconc_clip1,soils_clip1,tmax01_clip1,tmin07_clip1
1.120244026,367,11,15.5,0.0444723,25.29999924,6.400000095
1.715901017,378,11,17.70000076,-0.335074395,25.79999924,6.300000191
1.781592965,406,12,15.5,-0.399265409,26.20000076,6.300000191
1.679224014,417,12,15.5,-0.399265409,26.60000038,6.199999809
1.762735009,407,11,15.5,-0.398129106,26.60000038,6.300000191
2.013607979,363,11,17.70000076,-0.200075597,28.20000076,6
2.031795979,364,10,17.70000076,-0.189947993,28.20000076,6.099999905
1.802497029,367,12,17.70000076,-0.192054898,27.60000038,6.199999809
1.832909942,362,11,17.70000076,-0.185704499,27.60000038,6
1.740761042,358,10,21.39999962,-0.395108193,26.20000076,6.300000191
1.695340991,410,14,21.39999962,-0.115572698,26.10000038,6.400000095
1.787130952,389,12,21.39999962,-0.399265409,26.29999924,6.5
2.025501013,367,10,15.5,-0.201038197,28.29999924,6.099999905
1.751746058,401,12,21.39999962,-0.3813591,25.70000076,6.599999905
1.074316025,389,12,15.5,0.000749661,25.20000076,6.400000095
1.822603941,388,11,17.70000076,0.08985962,27,6.300000191
1.146366,364,10,15.5,0.1722361,25.5,6.400000095
1.776021004,344,10,17.70000076,0.048416879,25.89999962,6.400000095
1.902395964,358,11,17.70000076,-0.1348463,27.39999962,6.300000191
1.873497963,381,11,17.70000076,-0.150461897,27,6.400000095
1.780547023,401,12,17.70000076,-0.399265409,26.39999962,6.199999809
1.862115979,382,11,17.70000076,-0.05478413,26.79999924,6.5
1.755897045,414,13,21.39999962,-0.332128197,26.5,6.400000095
1.855352044,410,12,15.5,-0.399265409,26.20000076,6.199999809
1.887366056,408,12,15.5,-0.399265409,26.39999962,6.199999809
1.781661987,397,12,21.39999962,-0.399265409,26.20000076,6.5
1.94759798,394,11,15.5,-0.399265409,26.79999924,6.199999809
1.672857046,391,11,15.5,-0.317543089,25.79999924,6.400000095
1.730829,424,12,15.5,-0.353000313,26.60000038,6.099999905
1.799698949,363,10,21.39999962,-0.252869695,26.39999962,6.199999809
1.12036097,373,11,15.5,0.0444723,25.39999962,6.400000095
1.098335981,376,11,15.5,0.0444723,25.39999962,6.400000095
1.714416981,389,12,17.70000076,-0.399265409,26.79999924,6.099999905
1.608816028,414,13,21.39999962,-0.161825299,25.89999962,6.599999905
1.435706019,410,13,21.39999962,-0.222530007,25.89999962,6.599999905
1.807350993,356,9,17.70000076,-0.137230799,26.29999924,6.300000191
1.697831988,420,13,21.39999962,-0.335061699,26.10000038,6.599999905
1.647297978,408,12,15.5,-0.335061699,26.10000038,6.599999905
1.56041801,387,12,15.5,-0.272890687,25.79999924,6.5
1.131260991,364,11,15.5,0.157106102,25.60000038,6.400000095
1.110208988,379,11,15.5,0.172237605,25.39999962,6.400000095
1.166324019,376,11,15.5,-0.178161994,25.70000076,6.400000095
1.105453968,383,11,15.5,0.0444723,25.39999962,6.400000095
1.859495997,360,10,21.39999962,-0.399265409,26.60000038,6.199999809
1.641541004,422,14,21.39999962,-0.173268795,26.20000076,6.5
1.569079995,421,14,21.39999962,-0.284742296,26,6.599999905
1.874658942,362,10,21.39999962,-0.164076194,27.39999962,6
1.814136028,372,11,17.70000076,-0.199361101,26.89999962,6.099999905
1.079324007,412,12,15.5,0.0444723,25.29999924,6.400000095
1.110641003,388,11,15.5,0.221687406,25.39999962,6.400000095
1.096976042,388,12,15.5,0.221687406,25.39999962,6.400000095
1.911206961,360,11,17.70000076,-0.219871402,27.5,6
1.655626059,432,13,17.70000076,-0.335076898,26.70000076,6.099999905
1.61965704,435,13,15.5,-0.335076898,26.39999962,6.199999809
1.118754029,380,11,15.5,0.0444723,25.39999962,6.400000095
1.570608974,432,13,15.5,-0.335076898,26.20000076,6.199999809
1.639616966,429,13,15.5,-0.335076898,26.29999924,6.199999809
1.106948018,385,12,15.5,0.395050198,25.39999962,6.599999905
1.126096964,389,11,15.5,0.267274708,25.39999962,6.400000095
1.105723977,376,11,15.5,0.0444723,25.29999924,6.400000095
1.091699958,379,11,15.5,0.0444723,25.29999924,6.400000095
1.783539057,420,12,17.70000076,-0.381352991,26,6.300000191
1.750311017,407,12,17.70000076,-0.335074395,25.89999962,6.300000191
1.099645972,387,12,15.5,0.09283825,25.5,6.400000095
1.088031054,392,12,15.5,0.217821106,25.5,6.400000095
1.974918962,401,11,15.5,-0.399265409,26.70000076,6.099999905
1.145607948,357,10,15.5,-0.068461441,25.39999962,6.400000095
1.473803997,436,13,15.5,-0.335076898,26.20000076,6.199999809
1.863690972,349,9,17.70000076,-0.230593607,26.10000038,6.300000191
1.134899974,351,10,15.5,-0.116527997,25.29999924,6.400000095
1.702628016,367,11,15.5,-0.172688007,25.39999962,6.400000095
1.650246024,341,10,17.70000076,0.119364403,25.79999924,6.400000095
1.897215962,385,11,17.70000076,-0.399265409,26.60000038,6.099999905
