"","x","y","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc"
"68",20.709848,-33.987374,8003981,"PRE0813707-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.987374,20.709848,"501-2000m"
"69",20.710457,-33.986888,8003982,"NBG0182797-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.986888,20.710457,"501-2000m"
"70",18.983185,-33.983894,8003974,"PRE0051557-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.983894,18.983185,"501-2000m"
"71",18.986581,-33.982105,8003894,"NBG0182814-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.982105,18.986581,"501-2000m"
"72",18.403773,-33.980434,8003887,"SAM0054325-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.980434,18.403773,"501-2000m"
"73",20.707413,-33.975115,8003966,"NBG0134884-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.975115,20.707413,"501-2000m"
"74",18.418837,-33.973185,8003960,"NBG0149631-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.973185,18.418837,"<500m"
"75",18.407401,-33.973169,8003908,"NBG0149864-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.973169,18.407401,"501-2000m"
"76",21.55028,-33.970969,8003928,"NBG0182803-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.970969,21.55028,"501-2000m"
"77",18.426082,-33.966486,8003850,"NBG0112238-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.966486,18.426082,"501-2000m"
"78",18.416072,-33.96337,8003952,"PRE0051552-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.96337,18.416072,"501-2000m"
"79",20.425719,-33.943851,8003879,"NBG0182828-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.943851,20.425719,"501-2000m"
"80",21.052759,-33.938884,8003922,"PRE0735489-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.938884,21.052759,"501-2000m"
"81",19.159502,-33.919273,8003963,"NBG0148446-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.919273,19.159502,"501-2000m"
"82",19.158513,-33.916921,8003938,"NBG0182823-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.916921,19.158513,"501-2000m"
"83",19.16083333,-33.88722222,8003964,"NBG0201165-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.88722222,19.16083333,"GPS"
"84",22.431258,-33.883296,8003946,"PRE0111955-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.883296,22.431258,"501-2000m"
"85",22.432032,-33.882904,8003954,"PRE0051539-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.882904,22.432032,"501-2000m"
"86",22.030035,-33.871514,8003988,"PRE0735511-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.871514,22.030035,"501-2000m"
"87",21.963846,-33.861519,8003984,"NBG0182892-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.861519,21.963846,"501-2000m"
"88",19.053826,-33.815256,8003985,"PRE0813338-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.815256,19.053826,"501-2000m"
"89",19.08599,-33.760911,8003969,"SAM0056446-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.760911,19.08599,"501-2000m"
"90",19.121806,-33.603092,8003962,"NBG0149642-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.603092,19.121806,"<500m"
"91",19.450192,-33.439185,8003920,"PRE0713595-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.439185,19.450192,"501-2000m"
"92",19.08361111,-33.01083333,8003870,"NBG0196800-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.01083333,19.08361111,"GPS"
"93",19.076487,-32.895334,8003935,"NBG0182799-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-32.895334,19.076487,"501-2000m"
