Family,Clade,ScientificName,Taxon,LatitudeDecimal,LongitudeDecimal,ReferenceAcc,Localities,GrowthForm,Trait,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.279446,18.994395,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.22472,19.441464,<500m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.208828,21.583537,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.197878,19.154001,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.172787,21.370152,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.100174,21.068076,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.095341,18.853095,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.052076,18.87146,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.009018,20.645705,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.979078,21.249501,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.971757,21.231195,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.961845,18.416108,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.957029,18.3956,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.953889,21.224695,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.953394,18.391064,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.943111,21.225951,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.923326,20.029484,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.874561,20.805157,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.87346,22.370971,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.835764,23.847686,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.735599,24.706364,<500m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.566203,19.255736,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.285527,19.148131,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.22149,19.32325,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.13694,19.338721,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.091188,18.034392,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.864983,19.59405,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.854335,18.736916,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.843007,18.782105,<500m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.815723,19.243886,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.709495,19.096917,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.705521,19.099417,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.631712,19.163017,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.53888889,19.26666667,GPS,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.183985,18.876128,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.572877,19.209961,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.50624,19.080282,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.417926,19.123851,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.398622,19.140539,<500m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.371675,19.08012,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.360569,19.142853,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.35,19.13333333,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.648712,19.560211,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.401203,19.272319,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.34167,18.99667,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.327322,19.086892,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.315029,18.449747,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.25,18.38333333,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.119262,18.446824,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.035179,19.409726,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.999338,18.959369,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.99504,18.473474,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.94722,18.49306,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.935454,18.924035,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.907838,18.600699,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.826443,19.036641,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.82472,24.26222,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.816546,19.020975,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.815946,19.061241,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.81407,19.064525,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.811455,19.06279,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.809459,19.067378,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.807165,19.060029,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.806732,19.065605,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.806307,19.063269,<500m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.512578,18.475283,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-32.812703,19.213772,501-2000m,25,PH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.831545,19.99592,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.598575,20.114513,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.593457,20.319794,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.45099,20.434961,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.383836,21.767858,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.362675,21.426876,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.341038,21.878754,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.207485,21.68288,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.166363,24.65479,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.140267,18.326341,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.132185,18.436171,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.097481,18.504725,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.07712,18.74744,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.075087,20.455599,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.036336,22.941375,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.013646,24.342858,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-34.003611,23.458858,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.995953,22.055939,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.985047,21.154833,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.976809,18.947777,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.934111,18.829933,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.932372,18.863447,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.906041,24.146301,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.905008,18.823461,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.889051,19.004202,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.862814,19.059571,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.76614,20.118311,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.622068,19.474882,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.582664,18.362871,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.569481,18.326144,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.533933,20.924732,501-2000m,47,AH ,OS,,,,,,,,,,
