"","","<500m","500m - 2000m","501-2000m","A","A.Galley","B","B.Galley","GPS"
"KarroPurpu",0,1,0,7,0,0,0,0,0
"LeucaAlbum",0,4,0,15,0,0,0,0,2
"LeucaArcua",0,4,0,12,0,0,0,0,1
"LeucaArgen",0,2,0,6,0,0,0,0,1
"LeucaBarke",0,2,0,8,0,0,0,0,1
"LeucaBruni",0,4,0,5,0,0,0,0,3
"LeucaBurch",0,2,0,1,0,0,0,0,0
"LeucaChame",0,2,0,4,0,0,0,0,3
"LeucaComos",0,4,0,10,0,0,0,0,0
"LeucaConic",0,4,0,7,0,0,0,0,1
"LeucaConif",0,12,0,14,0,0,0,0,0
"LeucaCorym",0,4,0,10,0,0,1,0,0
"LeucaDaphn",0,0,0,2,0,0,0,0,0
"LeucaDisco",0,1,0,2,0,0,0,0,1
"LeucaDrege",0,2,0,5,0,0,0,0,0
"LeucaDubiu",0,6,0,13,0,0,0,0,0
"LeucaElimE",0,0,0,3,0,0,0,0,1
"LeucaElimS",0,2,0,3,0,0,0,0,0
"LeucaElimV",0,1,0,2,0,0,0,0,0
"LeucaErici",0,3,0,5,0,0,0,0,0
"LeucaEucal",0,18,0,31,0,0,0,0,1
"LeucaFlexu",0,1,0,3,0,0,0,0,2
"LeucaFlori",0,3,0,4,0,0,0,0,0
"LeucaGalpi",0,12,0,11,0,0,0,0,0
"LeucaGando",0,4,0,12,0,0,0,0,0
"LeucaGlabE",0,2,0,3,0,0,0,0,0
"LeucaGlabG",0,10,0,12,0,0,0,0,2
"LeucaLaniL",0,2,0,1,0,0,0,0,1
"LeucaLaniN",0,4,0,9,0,0,0,0,0
"LeucaLaniY",0,3,0,8,0,0,0,0,2
"LeucaLaure",0,8,0,12,0,0,0,0,0
"LeucaLaxum",0,3,0,7,0,0,0,0,1
"LeucaLevis",0,2,0,6,0,0,0,0,0
"LeucaLinif",0,12,0,29,0,0,0,0,1
"LeucaLoeri",0,2,0,1,0,0,0,0,1
"LeucaLoran",0,6,0,10,0,0,0,0,0
"LeucaMacow",0,5,0,1,0,0,0,0,0
"LeucaMerid",0,9,0,11,0,0,0,0,1
"LeucaMeyer",0,3,0,6,0,0,0,0,0
"LeucaMicro",0,2,0,15,0,0,0,0,2
"LeucaModes",0,4,0,6,0,0,0,0,2
"LeucaMuiri",0,5,0,11,0,0,0,0,1
"LeucaNervo",0,3,0,3,0,0,0,0,0
"LeucaNitid",0,11,0,16,0,0,0,0,1
"LeucaNobil",0,2,0,2,0,0,0,0,2
"LeucaOsbor",0,2,0,2,0,0,0,0,0
