Barcode,Family,Scientific_Name,Latitude_Decimal,Longitude_Decimal,Collector,Collectors_Number,Collection_Date,CollectionDay,CollectionMonth,CollectionYear,Voucher,Locality,Habitat_Comments,AltitudeFrom,AltitudeMax,AltitudeUnits,District,Province,Grid,Reference_Accuracy,Latitude_Decimal2,Latitude,txtLatitudeMinutes,txtLatitudeSeconds,Direction,Longitude_Decimal2,Longitude,txtLongitudeMinutes,txtLongitudeSeconds,LogitudeDirection,Herb_Number,Type,PRECI_Number,Det,Source_File,Date_Captured
8001925,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.184322,19.921335,Steyn H.M.,1209,,7,8,2007,Vera,Calvinia District. Tankwa Karoo National Park. Elandsberg; near trig beacon.,Slope: none. disturbed-other,722,0,m,Calvinia,NC,3219BB,501-2000m,-32.184322,32,11,4,S,19.921335,19,55,17,E,,FALSE,PRE0770047-0,,,
8001852,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.468114,19.770208,Dyer R.A.,S988,,,,,Vera,CALVINIA DIV.,,0,0,,Calvinia,NC,3119BD,>10000m,-31.468114,31,28,5,S,19.770208,19,46,13,E,,FALSE,PRE0215469-0,,,
8001941,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.375071,19.112059,Van Son G., TRV 36599,,,11,1933,Vera,CALVINIA DIV.; NIEUWOUDTVILLE,,0,0,,CALVINIA,NC,3119AC,5001-10000m,-31.375071,31,22,30,S,19.112059,19,6,43,E,,FALSE,PRE0216968-0,,,
8001942,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.375071,19.112059,Van Son G., TRV 36593,,,11,1933,Vera,CALVINIA DIV.; NIEUWOUDTVILLE,,0,0,,CALVINIA,NC,3119AC,5001-10000m,-31.375071,31,22,30,S,19.112059,19,6,43,E,,FALSE,PRE0216974-0,,,
8001865,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.451928,19.689877,Henrici M.G.A.,3485,,8,9,1941,Vera,CALVINIA DIV.; TIERHOEK RES.,,0,0,,Calvinia,NC,3119BC,501-2000m,-31.451928,31,27,7,S,19.689877,19,41,24,E,,FALSE,PRE0215475-0,,,
8001843,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.363462,19.63571,Coetzer L.A.,816,,27,8,1983,Vera,CALVINIA; KLEIN TOREN; 20 KM VANAF CALVINIA OP PAD NA LOERIESFONTEIN. HEUWELS N VAN HANTAMSBER,,0,0,,Calvinia,NC,3119BC,501-2000m,-31.363462,31,21,48,S,19.63571,19,38,9,E,,FALSE,PRE0641773-0,,,
8001909,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.363191,19.141333,Perry P.L. & Snijman D.A.,2196,,26,7,1983,Vera,CALVINIA; NIEUWOUDTVILLE RESERVE; GROWING ON FLATS IN DWYKA TILLITE,,0,0,,CALVINIA,NC,3119AC,2001-5000m,-31.363191,31,21,47,S,19.141333,19,8,29,E,,FALSE,PRE0663187-0,,,
8001908,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.363191,19.141333,Perry P.L. & Snijman D.A.,2196,,26,7,1983,Vera,CALVINIA; NIEUWOUDTVILLE RESERVE; GROWING ON FLATS IN DWYKA TILLITE,,0,0,,CALVINIA,NC,3119AC,2001-5000m,-31.363191,31,21,47,S,19.141333,19,8,29,E,,FALSE,PRE0663187-0,,,
8001936,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.691441,19.952649,Thompson M.F.,2453,,20,8,1975,Vera,CALVINIA; TAFELBERG; UITKOMS FARM W. OF TAFELBERG S.E. OF CALVINIA,,0,0,,CALVINIA,NC,3119DB,5001-10000m,-31.691441,31,41,29,S,19.952649,19,57,10,E,,FALSE,PRE0470170-0,,,
8001898,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.393408,22.17787,Moffett R.O.,166,,26,6,1974,Vera,CANGO VALLEY; BOOMPLAAS,,0,0,,OUDTSHOORN,WC,3322AC,2001-5000m,-33.393408,33,23,36,S,22.17787,22,10,40,E,,FALSE,PRE0636728-0,,,
8001907,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.097481,18.504725,Parsons R.J.,16,,16,9,1980,Vera,CAPE PENINSULA; SEEKOE RIVER MOUTH,,0,0,,Simonstown,WC,3418BA,<500m,-34.097481,34,5,51,S,18.504725,18,30,17,E,,FALSE,PRE0604413-0,,,
8001886,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.140267,18.326341,Marloth H.W.R.,1596,,,10,1886,Vera,CAPE TOWN; KOMMITJE,,0,0,,Simonstown,WC,3418AB,501-2000m,-34.140267,34,8,25,S,18.326341,18,19,35,E,,FALSE,PRE0215458-0,,,
8001861,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.7167,19.282391,Hanekom W.J.,507,,2,9,1965,Vera,CERES; BALIESGATBERG,cultivated land,0,0,,CERES,WC,3219CB,2001-5000m,-32.7167,32,43,0,S,19.282391,19,16,57,E,,FALSE,PRE0485073-0,,,
8001855,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.182171,18.891352,Galpin E.E.,10746,,16,10,1930,Vera,CLANWILLIAM DIV.,N aspect,0,0,,CLANWILLIAM,WC,3218BB,>10000m,-32.182171,32,10,56,S,18.891352,18,53,29,E,,FALSE,PRE0216954-0,,,
8001848,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.276508,19.21668,Drege , PRE 12755,,,,,Vera,CLANWILLIAM DIV.; WUPPERTHAL,,0,0,,Clanwilliam,WC,3219AC,501-2000m,-32.276508,32,16,35,S,19.21668,19,13,0,E,,FALSE,PRE0216949-0,,,
