V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific_Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc,Number of localities,Plant life form ,Growth Form,Growth Form_Vn,Fire response trait,Fire response trait_Vn,,,,,,,,,,
9007494,PRE0463927,PRE,463927,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.798807,25.688643,501-2000m,124,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007753,PRE0463937,PRE,463937,Poaceae,Tribolium,Tribolium obtusifolium,TriboObtus,-33.798807,25.688643,501-2000m,33,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9008036,GRA,GRA,Null,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.840363,25.566934,501-2000m,162,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9008025,PRE0463963,PRE,463963,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.798807,25.688643,501-2000m,162,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007804,PRE0609058,PRE,609058,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.627784,25.531849,<500m,162,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007955,PRE0357860,PRE,357860,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-32.935429,19.726085,501-2000m,162,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
8002163,PRE0704790-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.600364,20.291633,501-2000m,49,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
8002085,PRE0705113-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.429904,20.66372,501-2000m,49,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
8002107,PRE0628746-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.421157,19.646133,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002073,PRE0602864-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.362675,21.426876,<500m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002080,PRE0228400-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.358165,18.959345,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002074,PRE0614299-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.349245,21.870034,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002079,PRE0228402-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.279446,18.994395,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002108,PRE0228487-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.22472,19.441464,<500m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002133,PRE0228494-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.208828,21.583537,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002097,PRE0228506-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.197878,19.154001,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002072,PRE0602858-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.172787,21.370152,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002134,PRE0228405-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.100174,21.068076,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002151,PRE0228499-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.095341,18.853095,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002147,NBG0169204-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.052076,18.87146,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002061,PRE0228527-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.009018,20.645705,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002093,PRE0228518-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.979078,21.249501,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002094,PRE0228491-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.971757,21.231195,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002135,PRE0228490-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.961845,18.416108,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002066,PRE0228523-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.957029,18.3956,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002111,NBG0033865-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.953889,21.224695,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002116,PRE0228492-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.953394,18.391064,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002075,PRE0228528-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.943111,21.225951,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002127,PRE0228515-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.923326,20.029484,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002130,PRE0724516-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.874561,20.805157,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002090,NBG0168931-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.87346,22.370971,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002089,PRE0228507-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.835764,23.847686,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002159,PRE0236059-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.735599,24.706364,<500m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002161,PRE0814283-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.566203,19.255736,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002158,NBG0193279-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.285527,19.148131,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002114,PRE0228505-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.22149,19.32325,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002110,NBG0033743-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.13694,19.338721,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002098,PRE0469545-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.091188,18.034392,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002113,PRE0787172-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.864983,19.59405,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002155,PRE0228392-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.854335,18.736916,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002067,NBG0033693-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.843007,18.782105,<500m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002128,PRE0228401-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.815723,19.243886,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002105,PRE0710568-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.709495,19.096917,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002106,NBG0193286-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.705521,19.099417,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002153,PRE0725521-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.631712,19.163017,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002139,NBG0196640-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.53888889,19.26666667,GPS,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002165,PRE0525984-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.183985,18.876128,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002068,NBG0033685-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.572877,19.209961,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002143,NBG0168932-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.50624,19.080282,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002129,PRE0228403-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.417926,19.123851,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002138,PRE0706795-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.398622,19.140539,<500m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002166,PRE0525987-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.371675,19.08012,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002069,NBG0052176-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.360569,19.142853,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002152,NBG0193280-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.35,19.13333333,501-2000m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8002244,PRE0229727-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.648712,19.560211,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002225,PRE0744589-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.401203,19.272319,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002216,PRE0229720-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.34167,18.99667,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002214,PRE0631694-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.327322,19.086892,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002194,PRE0229716-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.315029,18.449747,<500m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
