"","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Longitude.Decimal.1","Latitude.Decimal.1"
"502",8005795,"PRE0071573-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.857045,19.17886,"501-2000m",19.17886,-33.857045
"503",8005808,"PRE0833977-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.816511,19.061686,"501-2000m",19.061686,-33.816511
"504",8005822,"PRE0560544-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.806307,19.063269,"<500m",19.063269,-33.806307
"505",8005801,"PRE0071593-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.76699,19.035208,"501-2000m",19.035208,-33.76699
"506",8005787,"PRE0071605-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.766762,19.086641,"501-2000m",19.086641,-33.766762
"507",8005790,"PRE0071611-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.655438,19.143557,"501-2000m",19.143557,-33.655438
"508",8005779,"PRE0072886-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.617454,19.100058,"501-2000m",19.100058,-33.617454
"509",8005784,"PRE0713455-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.611513,19.106879,"<500m",19.106879,-33.611513
"510",8005794,"PRE0679355-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.557401,19.381768,"501-2000m",19.381768,-33.557401
"511",8005793,"PRE0071603-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.550636,19.402759,"501-2000m",19.402759,-33.550636
"512",8005792,"PRE0071609-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.537503,19.396125,"501-2000m",19.396125,-33.537503
"513",8005789,"PRE0071606-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.472407,19.50725,"501-2000m",19.50725,-33.472407
"514",8005788,"PRE0071599-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.47194,19.315022,"501-2000m",19.315022,-33.47194
"515",8005781,"NBG0197756-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.3675,19.27055556,"GPS",19.27055556,-33.3675
"516",8005815,"PRE0692223-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-32.85154,19.224764,"501-2000m",19.224764,-32.85154
"535",8003949,"NBG0202557-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.44194444,19.73722222,"GPS",19.73722222,-34.44194444
"539",8003941,"NBG0182812-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.382978,19.289723,"501-2000m",19.289723,-34.382978
"547",8003872,"NBG0196747-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.31527778,18.95472222,"GPS",18.95472222,-34.31527778
"548",8003939,"NBG0155741-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.230115,18.88852,"501-2000m",18.88852,-34.230115
"549",8003918,"SAM0053726-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.2225,18.41194444,"501-2000m",18.41194444,-34.2225
"558",8003900,"PRE0813239-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.992568,18.97383,"501-2000m",18.97383,-33.992568
"559",8003903,"NBG0182801-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.991667,18.972323,"501-2000m",18.972323,-33.991667
"560",8003901,"NBG0182809-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.991556,18.972522,"501-2000m",18.972522,-33.991556
"561",8003973,"NBG0183292-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.991472,18.972981,"501-2000m",18.972981,-33.991472
"565",8003974,"PRE0051557-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.983894,18.983185,"501-2000m",18.983185,-33.983894
"566",8003894,"NBG0182814-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.982105,18.986581,"501-2000m",18.986581,-33.982105
"567",8003887,"SAM0054325-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.980434,18.403773,"501-2000m",18.403773,-33.980434
"569",8003966,"NBG0134884-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.975115,20.707413,"501-2000m",20.707413,-33.975115
"570",8003915,"SAM0056113-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.973908,18.429046,"501-2000m",18.429046,-33.973908
"571",8003960,"NBG0149631-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.973185,18.418837,"<500m",18.418837,-33.973185
"572",8003908,"NBG0149864-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.973169,18.407401,"501-2000m",18.407401,-33.973169
"575",8003850,"NBG0112238-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.966486,18.426082,"501-2000m",18.426082,-33.966486
"576",8003952,"PRE0051552-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.96337,18.416072,"501-2000m",18.416072,-33.96337
"578",8003879,"NBG0182828-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.943851,20.425719,"501-2000m",20.425719,-33.943851
"579",8003922,"PRE0735489-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.938884,21.052759,"501-2000m",21.052759,-33.938884
"580",8003963,"NBG0148446-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.919273,19.159502,"501-2000m",19.159502,-33.919273
"581",8003938,"NBG0182823-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.916921,19.158513,"501-2000m",19.158513,-33.916921
"582",8003964,"NBG0201165-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.88722222,19.16083333,"GPS",19.16083333,-33.88722222
"583",8003946,"PRE0111955-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.883296,22.431258,"501-2000m",22.431258,-33.883296
"584",8003954,"PRE0051539-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.882904,22.432032,"501-2000m",22.432032,-33.882904
"585",8003988,"PRE0735511-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.871514,22.030035,"501-2000m",22.030035,-33.871514
"586",8003984,"NBG0182892-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.861519,21.963846,"501-2000m",21.963846,-33.861519
"587",8003985,"PRE0813338-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.815256,19.053826,"501-2000m",19.053826,-33.815256
"588",8003969,"SAM0056446-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.760911,19.08599,"501-2000m",19.08599,-33.760911
"590",8003962,"NBG0149642-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.603092,19.121806,"<500m",19.121806,-33.603092
"592",8003920,"PRE0713595-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.439185,19.450192,"501-2000m",19.450192,-33.439185
