"","Species","Lon","Lat"
"541","ElegiAsper",18.966247,-34.311444
"542","ElegiAsper",18.994005,-34.306876
"543","ElegiAsper",19.142266,-34.151896
"544","ElegiAsper",18.421176,-33.972956
"545","ElegiAsper",20.457392,-33.965432
"546","ElegiAsper",20.838641,-33.933122
"547","ElegiAsper",24.784374,-33.571744
"548","ElegiAsper",20.538609,-33.273187
"549","ElegiAsper",19.143539,-33.035262
"550","ElegiAsper",19.267527,-32.538952
"551","ElegiAsper",19.20194444,-32.50777778
"552","ElegiAsper",19.11408333,-32.4118
"553","ElegiAsper",19.031712,-32.156044
"554","ElegiCapen",18.963134,-34.00713
"555","ElegiCapen",18.983185,-33.983894
"556","ElegiCapen",18.987194,-33.971704
"557","ElegiCapen",21.228828,-33.957212
"558","ElegiCapen",23.835891,-33.865893
"559","ElegiCapen",23.513538,-33.861164
"560","ElegiCapen",19.111621,-33.719376
"561","ElegiCapen",19.1073,-33.643362
"562","ElegiCapen",24.802775,-33.572348
"563","ElegiCapen",19.137259,-33.569074
"564","ElegiCapen",21.32083333,-33.41944444
"565","ElegiCapen",19.170048,-33.128492
"566","ElegiCapen",18.749921,-32.781187
"567","ElegiCapen",19.077518,-32.758857
"568","ElegiCapen",19.26666667,-32.53888889
"569","ElegiCapen",19.16588333,-32.45721667
"570","ElegiCapen",19.10571667,-32.41165
"571","ElegiCapen",19.10665,-32.405568
"572","ElegiFilac",18.965451,-34.322536
"573","ElegiFilac",18.938717,-34.289341
"574","ElegiFilac",18.954323,-34.238241
"575","ElegiFilac",19.15083333,-34.23055556
"576","ElegiFilac",18.41194444,-34.2225
"577","ElegiFilac",22.511449,-33.914567
"578","ElegiFilac",23.866882,-33.899723
"579","ElegiFilac",20.831929,-33.890369
"580","ElegiFilac",19.061686,-33.816511
"581","ElegiFilac",19.06501,-33.811192
"582","ElegiFilac",19.061686,-33.80572
"583","ElegiFilac",22.935568,-33.626021
"584","ElegiFilac",22.938467,-33.617346
"585","ElegiFilac",20.971359,-33.557313
"586","ElegiFilac",20.620586,-33.509718
"587","ElegiFilac",20.57694,-33.49972
"588","ElegiFilac",20.719449,-33.499459
"589","ElegiFilac",20.980648,-33.424519
"590","ElegiFilac",19.670496,-33.376288
"591","ElegiFilac",19.092806,-33.349149
"592","ElegiFilac",22.05605,-33.33901
"593","ElegiFilac",19.296567,-33.17926
"594","ElegiFilac",19.16957,-33.127058
"595","ElegiFilac",19.160482,-33.114938
"596","ElegiFilac",19.428706,-32.78179
"597","ElegiFilac",19.164644,-32.548914
"598","ElegiFilac",19.118451,-32.462598
"599","ElegiFilac",19.018478,-32.153042
"600","ElegiJunce",20.564561,-34.374532
"601","ElegiJunce",18.981708,-34.11036
"602","ElegiJunce",18.972981,-33.991472
"603","ElegiJunce",18.983185,-33.983894
"604","ElegiJunce",19.494082,-33.974943
"605","ElegiJunce",18.421176,-33.972956
"606","ElegiJunce",19.502607,-33.969355
"607","ElegiJunce",18.411066,-33.968416
"608","ElegiJunce",18.415513,-33.95133
"609","ElegiJunce",19.02742,-33.926054
"610","ElegiJunce",19.158055,-33.905934
"611","ElegiJunce",22.019219,-33.898646
"612","ElegiJunce",20.922825,-33.889816
"613","ElegiJunce",20.877935,-33.874676
"614","ElegiJunce",22.030278,-33.872287
"615","ElegiJunce",23.847296,-33.835066
"616","ElegiJunce",19.124112,-33.561312
"617","ElegiJunce",19.389171,-33.556625
"618","ElegiJunce",20.980648,-33.424519
"619","ElegiJunce",19.293805,-33.186646
"620","ElytrHispi",19.63,-33.38
"621","ElytrHispi",19.61,-33.37
"622","ElytrHispi",20.03,-33.37
"623","ElytrHispi",20.54,-33.28
"624","ElytrHispi",19.37,-33.22
"625","ElytrHispi",19.6,-33.2
"626","ElytrHispi",19.07,-33.13
"627","ElytrHispi",19.4,-32.8
"628","ElytrHispi",19.34,-32.78
"629","ElytrHispi",19.13,-32.66
"630","ElytrHispi",19.14,-32.66
"631","ElytrHispi",19.16,-32.49
"632","ElytrHispi",19.18,-32.39
"633","ElytrHispi",19.16,-32.35
"634","ElytrHispi",18.67,-31.79
"635","LeucaAlbum",21.516331,-33.957861
"636","LeucaAlbum",20.863181,-33.928468
"637","LeucaAlbum",20.862372,-33.924557
"638","LeucaAlbum",21.512821,-33.661212
"639","LeucaAlbum",21.497822,-33.647153
"640","LeucaAlbum",23.812278,-33.63719
"641","LeucaAlbum",21.421772,-33.632122
"642","LeucaAlbum",21.421766,-33.631863
"643","LeucaAlbum",22.931764,-33.617729
"644","LeucaAlbum",23.831536,-33.596809
"645","LeucaAlbum",20.656876,-33.503754
"646","LeucaAlbum",23.783193,-33.461555
"647","LeucaAlbum",23.466397,-33.450067
"648","LeucaAlbum",22.213966,-33.4375
"649","LeucaAlbum",22.409629,-33.391085
"650","LeucaAlbum",21.90801,-33.358872
"651","LeucaAlbum",22.049502,-33.352304
"652","LeucaAlbum",22.047237,-33.352244
"653","LeucaAlbum",22.036351,-33.335844
"654","LeucaAlbum",21.281591,-33.320385
"655","LeucaDubiu",19.16245,-32.486952
"656","LeucaDubiu",19.152565,-32.486714
"657","LeucaDubiu",19.1711,-32.486526
"658","LeucaDubiu",19.158622,-32.48505
"659","LeucaDubiu",19.257012,-32.448966
"660","LeucaDubiu",19.238048,-32.43819
"661","LeucaDubiu",19.238001,-32.437684
"662","LeucaDubiu",19.217538,-32.424349
"663","LeucaDubiu",19.20272,-32.419949
"664","LeucaDubiu",19.175837,-32.394563
"665","LeucaDubiu",19.160665,-32.354075
"666","LeucaDubiu",19.223351,-32.322092
"667","LeucaDubiu",19.214269,-32.318934
"668","LeucaDubiu",19.090906,-32.213281
"669","LeucaDubiu",19.092661,-32.211624
"670","LeucaEucal",20.675563,-34.430903
"671","LeucaEucal",20.770568,-34.426467
"672","LeucaEucal",23.295462,-34.046621
"673","LeucaEucal",21.421283,-34.008336
"674","LeucaEucal",20.451661,-33.991243
"675","LeucaEucal",21.219099,-33.967695
"676","LeucaEucal",23.960367,-33.965657
"677","LeucaEucal",21.238984,-33.960554
"678","LeucaEucal",23.524688,-33.959365
"679","LeucaEucal",20.882225,-33.928609
"680","LeucaEucal",20.862372,-33.924557
"681","LeucaEucal",23.160987,-33.912732
"682","LeucaEucal",25.205605,-33.905493
"683","LeucaEucal",23.400005,-33.901224
"684","LeucaEucal",25.216505,-33.896449
"685","LeucaEucal",20.909,-33.884385
"686","LeucaEucal",22.045475,-33.875051
"687","LeucaEucal",19.495426,-33.872098
"688","LeucaEucal",23.505383,-33.860474
"689","LeucaEucal",25.217179,-33.817548
"690","LeucaEucal",20.143608,-33.816901
"691","LeucaEucal",20.720928,-33.781638
"692","LeucaEucal",25.241476,-33.63644
"693","LeucaEucal",25.188558,-33.606547
"694","LeucaEucal",20.943587,-33.565522
"695","LeucaEucal",20.969183,-33.560245
"696","LeucaEucal",20.965711,-33.559042
"697","LeucaEucal",21.206613,-33.421033
"698","LeucaGlabG",19.523533,-32.946285
"699","LeucaGlabG",19.381629,-32.928019
"700","LeucaGlabG",19.382997,-32.920767
"701","LeucaGlabG",19.064346,-32.87302
"702","LeucaGlabG",19.231399,-32.747182
"703","LeucaGlabG",19.325993,-32.671756
"704","LeucaGlabG",19.325734,-32.671705
"705","LeucaGlabG",19.326097,-32.668598
"706","LeucaGlabG",19.276514,-32.557834
"707","LeucaGlabG",19.266601,-32.538955
"708","LeucaGlabG",19.095793,-32.527771
"709","LeucaGlabG",19.229636,-32.482564
"710","LeucaGlabG",19.159347,-32.473084
"711","LeucaGlabG",19.119715,-32.462126
"712","LeucaGlabG",19.119533,-32.461928
"713","LeucaGlabG",19.131409,-32.425476
"714","LeucaGlabG",19.161114,-32.41402
"715","LeucaGlabG",19.064709,-32.354592
"716","LeucaGlabG",19.01265,-32.347453
"717","LeucaNitid",19.423829,-33.492343
"718","LeucaNitid",19.407205,-33.243953
"719","LeucaNitid",19.632371,-32.869952
"720","LeucaNitid",19.29472,-32.65001
"721","LeucaNitid",19.279394,-32.606673
"722","LeucaNitid",19.1836,-32.51353
"723","LeucaNitid",19.18184,-32.512879
"724","LeucaNitid",19.17608,-32.512545
"725","LeucaNitid",19.170036,-32.498954
"726","LeucaNitid",19.158566,-32.473168
"727","LeucaNitid",19.233853,-32.441778
"728","LeucaNitid",19.225022,-32.438291
"729","LeucaNitid",19.199595,-32.431865
"730","LeucaNitid",19.174003,-32.413221
"731","LeucaNitid",19.205049,-32.412098
"732","LeucaNitid",19.175516,-32.393872
"733","LeucaNitid",19.160665,-32.354075
"734","LeucaNitid",19.160947,-32.354035
"735","LeucaRubru",18.975372,-33.982469
"736","LeucaRubru",19.506061,-33.971152
"737","LeucaRubru",19.503735,-33.969646
"738","LeucaRubru",21.796962,-33.959388
"739","LeucaRubru",18.924035,-33.935454
"740","LeucaRubru",19.146433,-33.915697
"741","LeucaRubru",19.06115,-33.815068
"742","LeucaRubru",18.93408,-33.718256
"743","LeucaRubru",21.433881,-33.679983
"744","LeucaRubru",20.148141,-33.635952
"745","LeucaRubru",19.647476,-33.578279
"746","LeucaRubru",24.262194,-33.570711
"747","LeucaRubru",20.949326,-33.565568
"748","LeucaRubru",20.981806,-33.547442
"749","LeucaRubru",20.62027,-33.50974
"750","LeucaRubru",20.739675,-33.505198
"751","LeucaRubru",23.654929,-33.495465
"752","LeucaRubru",23.467273,-33.448113
"753","LeucaRubru",23.467138,-33.444878
"754","LeucaRubru",19.278024,-33.421941
"755","LeucaRubru",21.367874,-33.398156
"756","LeucaRubru",22.059948,-33.361805
"757","LeucaRubru",21.281591,-33.320385
"758","LeucaRubru",22.045859,-33.312202
"759","LeucaRubru",19.150896,-32.630938
"760","LeucaRubru",19.266601,-32.538955
"761","LeucaRubru",19.158566,-32.473168
"762","LeucaRubru",19.101579,-32.41057
"763","LeucaRubru",19.100625,-32.401061
"764","LeucaRubru",19.097716,-32.398248
"765","LeucaRubru",19.034721,-32.371595
"766","LeucaRubru",19.048091,-32.369262
"767","LeucaRubru",19.012616,-32.347638
"768","LeucaRubru",19.030242,-32.149144
